ServiceID,total_requests,slow_requests,E_pct,n_replicas,avg_response_time_sec,p95_response_time_sec,p99_response_time_sec,deadline_violations,deadline_violation_rate_pct,avg_distance_km,avg_network_delay_ms,p95_network_delay_ms,p99_network_delay_ms,cycle,servers_on
7,11,5.0,45.45454545454545,7,47.74399103339183,87.51841522878874,97.51751656294879,4,36.36363636363637,11.871013452078625,16.718306119104955,26.46205739200628,27.32230599657513,9,10
8,10,4.0,40.0,7,50.012673287545695,88.7626086722613,97.7572877851856,4,40.0,8.095473734040278,12.673287545695555,22.20510763340145,23.165523710308715,9,10
9,4,1.0,25.0,7,37.51235135612978,55.51976737945394,59.121037690242176,1,25.0,7.794989366611131,12.351356129780907,19.767379453952866,21.03769024218742,9,10
10,11,4.0,36.36363636363637,7,90.91951545369025,180.00980496864003,196.01017112090796,4,36.36363636363637,5.996541886005435,10.424544599340665,14.619997812791013,14.685453870089171,9,10
11,7,3.0,42.857142857142854,7,92.87282393650705,185.0188453861066,197.02074964439353,3,42.857142857142854,10.902886671261447,15.681079364182827,26.54727784120392,28.371815741517263,9,10
12,4,1.0,25.0,7,105.01379978493824,171.01433502599141,178.2146754926745,1,25.0,9.146923948824199,13.799784938239492,16.973669605457424,17.286101642185248,9,10
13,2,2.0,100.0,7,105.02006608390062,136.5200166105039,139.32001221286862,1,50.0,14.995762511157114,20.066083900604028,20.11555729732536,20.11995493258948,9,10
14,2,0.0,0.0,7,90.01066010047506,90.0132940687963,90.01352819931374,0,0.0,6.216405045703848,10.660100475058119,13.294068796308503,13.528199313752982,9,10
15,0,,0.0,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9,10
1,14,7.0,50.0,7,1.9433356889831237,3.3611958317797463,3.8800693810302485,6,42.857142857142854,10.047146133474284,14.764260411694911,25.428135294112355,29.173069922495166,10,10
2,23,15.0,65.21739130434783,7,6.100238640354257,11.812011154922878,12.02058285596268,14,60.869565217391305,8.663744520069121,13.282118615126594,22.900342709221242,23.20802337856819,10,10
3,18,11.0,61.111111111111114,7,10.457663931504356,20.007612180818636,20.011643488924573,10,55.55555555555556,8.605285474696187,13.219487059911438,22.423714225880357,27.854671407223336,10,10
4,17,8.0,47.05882352941177,7,18.54179961597565,36.418018274667276,40.8893157766628,8,47.05882352941177,7.829053202916822,12.387851269768383,20.861297822794832,21.256473915955816,10,10
5,14,4.0,28.571428571428573,7,20.728820568428386,43.523679960402724,48.724071115075546,4,28.571428571428573,9.833022894104293,14.534854142675389,23.67996040273142,24.071115075558808,10,10
6,7,3.0,42.857142857142854,7,23.586483743586456,40.52170308040271,44.119426472423605,2,28.571428571428573,10.318677359407422,15.05517215787854,26.296364828060355,27.93382257237533,10,10
7,10,4.0,40.0,7,50.01333226856464,113.75960987057263,122.75192197411454,3,30.0,9.083905511326998,13.332268564639833,21.355267939246062,21.355267939246062,10,10
