BCode,BTSID,Lat,Long
136,a9433a32cacea007e5c9d88e27af6e17,31.031459,121.300841
137,815b5b46f3699f08b73f0c9cd34c9c9f,31.242627,121.730079
138,bee2529eaf3b8d28fd44da85ad96f876,31.184888,121.510295
139,5b9f37b4c9a3c52c9450f2751a92e7e1,30.899117,121.175731
140,667793d42b6cc20052470b6c5bdd7dca,31.094143,121.488864
141,056826db0e7c2a86238987706b43645f,22.522803,114.218796
142,bccd38942e8bfb41e049ee5740442fbf,31.250271,121.406561
143,432d4be4ed35763a4cafb160bfe2a717,31.036429,121.324198
144,c503f1b3f6c3ec9eadf793ef3164f942,31.254912,121.371838
145,5f8c3194e9c324d8deffd5490c1074be,31.339114,121.321261
146,07b2388d0e6429040f513c921260888c,31.247155,121.23112
147,52e914cf92282b7e7a3ea4d1b2e889f5,31.142218,121.413767
148,a04b369fe6fbff2ec96d8f8ff3863da4,31.198093,121.126168
149,fda3302660fc3312589451a525115199,31.198093,121.126168
150,03acb9b44f1246ef231685abe0d62f48,29.263844,115.023159
151,ea3165f08bed03bb8e1f103cccb0ae3c,31.114131,121.394475
152,6fe80cbb5ec2dcf9ab5c54fe4ba92097,31.078791,121.422082
153,a76891aef0c723d89576d3f029fe0772,31.337091,121.543621
154,905b3f94f56c21f4465d96a94cf330a9,31.235929,121.449652
155,9e719b94cb914f4607cc00ec919bc0de,31.282271,121.524511
156,10f91d74831291ec42de621b777b0575,31.381763,121.301878
157,c6406fbb16cd5e84c8baae4d00b4b560,30.948712,121.365593
158,a79a4895f1ca2f0c8f2052236b4f29b5,31.056648,121.404326
159,2d4927c799569eb5fc5298174048ef95,31.370336,121.265507
160,84cdecb5556116cdfcd15ead60a42123,31.230933,121.347295
161,057a15c126484a4c496c72b8ca1c6db8,31.230933,121.347295
162,4d74eeb69287798215c34be0199a5dd3,31.254308,121.459288
163,a6cea3cd9698fa99867740a11552f23e,31.109649,121.402441
164,b4d604a30afa9e6bf233ab51957fdce7,31.382497,121.548578
165,9f994efb54e8b34b14f70ffd0b36236e,31.378285,121.436137
166,ab51e27385fd015afb6093aff08d700f,31.113744,121.341878
167,033d79000ecba1d7a05f8907186bbae1,31.269517,121.498812
168,7b7f9ac1f43b0274ffa1aabe37e28e10,31.066368,121.2082
169,518b438476602d9acf949d4e1e529f65,31.207125,121.299924
170,14b44d0a5f7c93ac8b5c1e82439dd75d,31.19143,121.411411
171,852ae5f24212f2f18e9018df35c6ca6a,31.265321,121.503333
172,e5442186da104e3b4c214934fc64b6bf,31.272151,121.375814
173,d1c39dca3445e3756f40850ea86a8543,31.420016,121.44113
174,634561b5643d1d30986c4fdc2002ef4a,31.210033,121.405714
175,f79a497597d419d82049d752ccdbbd41,31.343106,121.455682
176,38cbe24d8977428e9a00a61042e840cd,30.914669,121.471638
177,0cdd259664f49efb820d087401e4b8ef,31.353347,121.441038
178,7e7518b01183f8b958de2100014c4274,30.920156,121.488943
179,bdb5bbf94fb3b9f71d34c85b1524eaec,31.308964,121.403345
180,317c62fe17136ff990fb3bbb3bfa78ec,30.716044,121.291037
181,f1eea77b0aa9e41c0ade7470b95e0cd5,31.280262,121.364633
182,c7ae838a12b9b7813aef836b4ade2f3a,30.746286,121.344028
183,0f10f89cbebf5321b965a42be110c5f7,30.808567,121.29074
184,7ab88b866a618c2c545d03a4a5ec58dc,31.236856,121.40554
185,8230283378610b0d58230f6759044743,30.751838,121.360056
186,4e02f62fcc464dcecdbc3f975d4a49c2,31.32712,121.254377
187,78fb742df3b9cc3743ecefe3f683db75,30.739797,121.32739
188,3d287d643f5cda7be96918fc1771ddba,30.97935,121.815249
189,337d4c3b582c0c9dc72bd201e8af3318,31.357773,121.508693
190,5abe8e93bd04234af4c0c18875e968d5,31.254534,121.34772
